check_id,query_name,kics_category,platform,cwe,rank,candidate_control,control_title,score,matched_on,DECISION,REVIEWER,NOTES
3641d5b4-d339-4bc2-bfb9-208fe8d3477f,API Gateway Method Does Not Contains An API Key,Access Control,CloudFormation,285,2,IA-13.2,Verification of Identity Assertions and Access Tokens,0.729,statement|objective|guidance,,,
3641d5b4-d339-4bc2-bfb9-208fe8d3477f,API Gateway Method Does Not Contains An API Key,Access Control,CloudFormation,285,3,SC-17 a,Public Key Infrastructure Certificates,0.723,statement,,,
3641d5b4-d339-4bc2-bfb9-208fe8d3477f,API Gateway Method Does Not Contains An API Key,Access Control,CloudFormation,285,4,SC-12.2,Symmetric Keys,0.712,statement|objective|guidance,,,
3641d5b4-d339-4bc2-bfb9-208fe8d3477f,API Gateway Method Does Not Contains An API Key,Access Control,CloudFormation,285,5,IA-5.2,Public Key-based Authentication,0.701,statement|objective|guidance,,,
671211c5-5d2a-4e97-8867-30fc28b02216,API Gateway Method Does Not Contains An API Key,Access Control,Terraform,284,1,AC-24,Access Control Decisions,1.0,statement|objective|guidance,,,
671211c5-5d2a-4e97-8867-30fc28b02216,API Gateway Method Does Not Contains An API Key,Access Control,Terraform,284,2,IA-13.2,Verification of Identity Assertions and Access Tokens,0.729,statement|objective|guidance,,,
671211c5-5d2a-4e97-8867-30fc28b02216,API Gateway Method Does Not Contains An API Key,Access Control,Terraform,284,3,SC-17 a,Public Key Infrastructure Certificates,0.723,statement,,,
671211c5-5d2a-4e97-8867-30fc28b02216,API Gateway Method Does Not Contains An API Key,Access Control,Terraform,284,4,SC-12.2,Symmetric Keys,0.712,statement|objective|guidance,,,
671211c5-5d2a-4e97-8867-30fc28b02216,API Gateway Method Does Not Contains An API Key,Access Control,Terraform,284,5,IA-5.2,Public Key-based Authentication,0.701,statement|objective|guidance,,,
7fd0d461-5b8c-4815-898c-f2b4b117eb28,API Gateway Without Configured Authorizer,Access Control,CloudFormation,284,1,SC-28,Protection of Information at Rest,1.0,statement|guidance,,,
7fd0d461-5b8c-4815-898c-f2b4b117eb28,API Gateway Without Configured Authorizer,Access Control,CloudFormation,284,2,SC-28.1,Cryptographic Protection,0.794,statement|objective,,,
7fd0d461-5b8c-4815-898c-f2b4b117eb28,API Gateway Without Configured Authorizer,Access Control,CloudFormation,284,3,SC-28.2,Offline Storage,0.482,statement|objective|guidance,,,
7fd0d461-5b8c-4815-898c-f2b4b117eb28,API Gateway Without Configured Authorizer,Access Control,CloudFormation,284,4,SC-13.3,Individuals Without Formal Access Approvals,0.392,,,,
7fd0d461-5b8c-4815-898c-f2b4b117eb28,API Gateway Without Configured Authorizer,Access Control,CloudFormation,284,5,IA-5.7,No Embedded Unencrypted Static Authenticators,0.388,statement|objective|guidance,,,
0a96ce49-4163-4ee6-8169-eb3b0797d694,API Gateway Without Configured Authorizer,Access Control,Terraform,284,1,SC-28,Protection of Information at Rest,1.0,statement|guidance,,,
0a96ce49-4163-4ee6-8169-eb3b0797d694,API Gateway Without Configured Authorizer,Access Control,Terraform,284,2,SC-28.1,Cryptographic Protection,0.794,statement|objective,,,
0a96ce49-4163-4ee6-8169-eb3b0797d694,API Gateway Without Configured Authorizer,Access Control,Terraform,284,3,SC-28.2,Offline Storage,0.482,statement|objective|guidance,,,
0a96ce49-4163-4ee6-8169-eb3b0797d694,API Gateway Without Configured Authorizer,Access Control,Terraform,284,4,SC-13.3,Individuals Without Formal Access Approvals,0.392,,,,
0a96ce49-4163-4ee6-8169-eb3b0797d694,API Gateway Without Configured Authorizer,Access Control,Terraform,284,5,IA-5.7,No Embedded Unencrypted Static Authenticators,0.388,statement|objective|guidance,,,
b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,Access Control,Ansible,284,1,SC-28,Protection of Information at Rest,1.0,statement|guidance,,,
b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,Access Control,Ansible,284,2,SC-28.1,Cryptographic Protection,0.794,statement|objective,,,
b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,Access Control,Ansible,284,3,SC-28.2,Offline Storage,0.482,statement|objective|guidance,,,
b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,Access Control,Ansible,284,4,SC-13.3,Individuals Without Formal Access Approvals,0.392,,,,
b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,Access Control,Ansible,284,5,IA-5.7,No Embedded Unencrypted Static Authenticators,0.388,statement|objective|guidance,,,
aecee30b-8ea1-4776-a99c-d6d600f0862f,API Key Exposed In Global Security (v3),Access Control,OpenAPI,319,1,SC-12.2,Symmetric Keys,1.0,statement|objective|guidance,,,
aecee30b-8ea1-4776-a99c-d6d600f0862f,API Key Exposed In Global Security (v3),Access Control,OpenAPI,319,2,SC-12.3,Asymmetric Keys,0.976,statement|objective|guidance,,,
aecee30b-8ea1-4776-a99c-d6d600f0862f,API Key Exposed In Global Security (v3),Access Control,OpenAPI,319,3,SC-12,Cryptographic Key Establishment and Management,0.732,statement|objective|guidance,,,
aecee30b-8ea1-4776-a99c-d6d600f0862f,API Key Exposed In Global Security (v3),Access Control,OpenAPI,319,4,AC-3.5,Security-relevant Information,0.708,statement|objective|guidance,,,
aecee30b-8ea1-4776-a99c-d6d600f0862f,API Key Exposed In Global Security (v3),Access Control,OpenAPI,319,5,AC-2.7,Privileged User Accounts,0.689,statement|objective|guidance,,,
40e1d1bf-11a9-4f63-a3a2-a8b84c602839,API Key Exposed In Global Security Scheme,Access Control,OpenAPI,284,1,AC-2.7,Privileged User Accounts,1.0,statement|objective|guidance,,,
40e1d1bf-11a9-4f63-a3a2-a8b84c602839,API Key Exposed In Global Security Scheme,Access Control,OpenAPI,284,2,SC-12.2,Symmetric Keys,1.0,statement|objective|guidance,,,
40e1d1bf-11a9-4f63-a3a2-a8b84c602839,API Key Exposed In Global Security Scheme,Access Control,OpenAPI,284,3,SC-12.3,Asymmetric Keys,0.956,statement|objective|guidance,,,
40e1d1bf-11a9-4f63-a3a2-a8b84c602839,API Key Exposed In Global Security Scheme,Access Control,OpenAPI,284,4,SC-12.1,Availability,0.844,statement|objective|guidance,,,
40e1d1bf-11a9-4f63-a3a2-a8b84c602839,API Key Exposed In Global Security Scheme,Access Control,OpenAPI,284,5,SC-12,Cryptographic Key Establishment and Management,0.806,statement|objective|guidance,,,
281b8071-6226-4a43-911d-fec246d422c2,API Key Exposed In Operation Security (v3),Access Control,OpenAPI,319,1,SC-12.2,Symmetric Keys,1.0,statement|objective|guidance,,,
281b8071-6226-4a43-911d-fec246d422c2,API Key Exposed In Operation Security (v3),Access Control,OpenAPI,319,2,SC-12.3,Asymmetric Keys,0.976,statement|objective|guidance,,,
281b8071-6226-4a43-911d-fec246d422c2,API Key Exposed In Operation Security (v3),Access Control,OpenAPI,319,3,AC-3.5,Security-relevant Information,0.863,statement|objective|guidance,,,
281b8071-6226-4a43-911d-fec246d422c2,API Key Exposed In Operation Security (v3),Access Control,OpenAPI,319,4,SC-12,Cryptographic Key Establishment and Management,0.732,statement|objective|guidance,,,
281b8071-6226-4a43-911d-fec246d422c2,API Key Exposed In Operation Security (v3),Access Control,OpenAPI,319,5,AC-2.7,Privileged User Accounts,0.689,statement|objective|guidance,,,
b897dfbf-322c-45a8-b67c-1e698beeaa51,Admin User Enabled For Container Registry,Access Control,Terraform,732,1,AC-24.2,No User or Process Identity,1.0,statement|objective|guidance,,,
b897dfbf-322c-45a8-b67c-1e698beeaa51,Admin User Enabled For Container Registry,Access Control,Terraform,732,2,AC-6.6,Privileged Access by Non-organizational Users,0.973,statement|objective|guidance,,,
b897dfbf-322c-45a8-b67c-1e698beeaa51,Admin User Enabled For Container Registry,Access Control,Terraform,732,3,AC-9,Previous Logon Notification,0.937,statement|objective|guidance,,,
b897dfbf-322c-45a8-b67c-1e698beeaa51,Admin User Enabled For Container Registry,Access Control,Terraform,732,4,AC-2.7 (d),Privileged User Accounts,0.93,statement,,,
b897dfbf-322c-45a8-b67c-1e698beeaa51,Admin User Enabled For Container Registry,Access Control,Terraform,732,5,AC-2.7,Privileged User Accounts,0.916,statement|objective|guidance,,,
29f35127-98e6-43af-8ec1-201b79f99604,Admin User Enabled For Container Registry,Access Control,Ansible,732,1,AC-24.2,No User or Process Identity,1.0,statement|objective|guidance,,,
29f35127-98e6-43af-8ec1-201b79f99604,Admin User Enabled For Container Registry,Access Control,Ansible,732,2,AC-6.6,Privileged Access by Non-organizational Users,0.973,statement|objective|guidance,,,
29f35127-98e6-43af-8ec1-201b79f99604,Admin User Enabled For Container Registry,Access Control,Ansible,732,3,AC-9,Previous Logon Notification,0.937,statement|objective|guidance,,,
29f35127-98e6-43af-8ec1-201b79f99604,Admin User Enabled For Container Registry,Access Control,Ansible,732,4,AC-2.7 (d),Privileged User Accounts,0.93,statement,,,
29f35127-98e6-43af-8ec1-201b79f99604,Admin User Enabled For Container Registry,Access Control,Ansible,732,5,AC-2.7,Privileged User Accounts,0.916,statement|objective|guidance,,,
ce30e584-b33f-4c7d-b418-a3d7027f8f60,Always Admit Admission Control Plugin Set,Access Control,Kubernetes,285,1,AC-25,Reference Monitor,1.0,statement|objective|guidance,,,
ce30e584-b33f-4c7d-b418-a3d7027f8f60,Always Admit Admission Control Plugin Set,Access Control,Kubernetes,285,2,AC-3.15,Discretionary and Mandatory Access Control,0.812,statement|objective|guidance,,,
ce30e584-b33f-4c7d-b418-a3d7027f8f60,Always Admit Admission Control Plugin Set,Access Control,Kubernetes,285,3,AC-24,Access Control Decisions,0.794,statement|objective|guidance,,,
ce30e584-b33f-4c7d-b418-a3d7027f8f60,Always Admit Admission Control Plugin Set,Access Control,Kubernetes,285,4,AC-3.15 (a),Discretionary and Mandatory Access Control,0.688,statement,,,
ce30e584-b33f-4c7d-b418-a3d7027f8f60,Always Admit Admission Control Plugin Set,Access Control,Kubernetes,285,5,AC-3.15 (b),Discretionary and Mandatory Access Control,0.688,statement,,,
5864fb39-d719-4182-80e2-89dbe627be63,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,CloudFormation,284,1,AC-22,Publicly Accessible Content,1.0,statement|objective|guidance,,,
5864fb39-d719-4182-80e2-89dbe627be63,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,CloudFormation,284,2,AC-22 a,Publicly Accessible Content,0.976,statement,,,
5864fb39-d719-4182-80e2-89dbe627be63,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,CloudFormation,284,3,AC-22 d,Publicly Accessible Content,0.972,statement,,,
5864fb39-d719-4182-80e2-89dbe627be63,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,CloudFormation,284,4,AC-22 b,Publicly Accessible Content,0.966,statement,,,
5864fb39-d719-4182-80e2-89dbe627be63,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,CloudFormation,284,5,AC-22 c,Publicly Accessible Content,0.96,statement,,,
bccb296f-362c-4b05-9221-86d1437a1016,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Pulumi,284,1,AC-22,Publicly Accessible Content,1.0,statement|objective|guidance,,,
bccb296f-362c-4b05-9221-86d1437a1016,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Pulumi,284,2,AC-22 a,Publicly Accessible Content,0.976,statement,,,
bccb296f-362c-4b05-9221-86d1437a1016,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Pulumi,284,3,AC-22 d,Publicly Accessible Content,0.972,statement,,,
bccb296f-362c-4b05-9221-86d1437a1016,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Pulumi,284,4,AC-22 b,Publicly Accessible Content,0.966,statement,,,
bccb296f-362c-4b05-9221-86d1437a1016,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Pulumi,284,5,AC-22 c,Publicly Accessible Content,0.96,statement,,,
030d3b18-1821-45b4-9e08-50efbe7becbb,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Terraform,668,1,AC-22,Publicly Accessible Content,1.0,statement|objective|guidance,,,
030d3b18-1821-45b4-9e08-50efbe7becbb,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Terraform,668,2,AC-22 a,Publicly Accessible Content,0.976,statement,,,
030d3b18-1821-45b4-9e08-50efbe7becbb,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Terraform,668,3,AC-22 d,Publicly Accessible Content,0.972,statement,,,
030d3b18-1821-45b4-9e08-50efbe7becbb,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Terraform,668,4,AC-22 b,Publicly Accessible Content,0.966,statement,,,
030d3b18-1821-45b4-9e08-50efbe7becbb,Amazon DMS Replication Instance Is Publicly Accessible,Access Control,Terraform,668,5,AC-22 c,Publicly Accessible Content,0.96,statement,,,
1de5cc51-f376-4638-a940-20f2e85ae238,Anonymous Auth Is Not Set To False,Access Control,Kubernetes,1390,1,AC-3.15,Discretionary and Mandatory Access Control,1.0,statement|objective|guidance,,,
1de5cc51-f376-4638-a940-20f2e85ae238,Anonymous Auth Is Not Set To False,Access Control,Kubernetes,1390,2,AC-3.15 (a),Discretionary and Mandatory Access Control,0.847,statement,,,
1de5cc51-f376-4638-a940-20f2e85ae238,Anonymous Auth Is Not Set To False,Access Control,Kubernetes,1390,3,AC-3.15 (b),Discretionary and Mandatory Access Control,0.847,statement,,,
1de5cc51-f376-4638-a940-20f2e85ae238,Anonymous Auth Is Not Set To False,Access Control,Kubernetes,1390,4,AC-3.4,Discretionary Access Control,0.763,statement|objective|guidance,,,
1de5cc51-f376-4638-a940-20f2e85ae238,Anonymous Auth Is Not Set To False,Access Control,Kubernetes,1390,5,SC-47,Alternate Communications Paths,0.762,statement|objective|guidance,,,
c7fc1481-2899-4490-bbd8-544a3a61a2f3,App Service Authentication Disabled,Access Control,Terraform,285,1,AC-2.1,Automated System Account Management,1.0,guidance,,,
c7fc1481-2899-4490-bbd8-544a3a61a2f3,App Service Authentication Disabled,Access Control,Terraform,285,2,IA-9,Service Identification and Authentication,0.951,guidance,,,
c7fc1481-2899-4490-bbd8-544a3a61a2f3,App Service Authentication Disabled,Access Control,Terraform,285,3,AC-2.3,Disable Accounts,0.869,objective,,,
c7fc1481-2899-4490-bbd8-544a3a61a2f3,App Service Authentication Disabled,Access Control,Terraform,285,4,IA-2.8,Access to Accounts — Replay Resistant,0.853,statement|objective|guidance,,,
c7fc1481-2899-4490-bbd8-544a3a61a2f3,App Service Authentication Disabled,Access Control,Terraform,285,5,IA-2.5,Individual Authentication with Group Authentication,0.84,statement|objective|guidance,,,
83130a07-235b-4a80-918b-a370e53f0bd9,App Service Authentication Is Not Set,Access Control,AzureResourceManager,778,1,AC-3.15,Discretionary and Mandatory Access Control,1.0,statement|objective|guidance,,,
83130a07-235b-4a80-918b-a370e53f0bd9,App Service Authentication Is Not Set,Access Control,AzureResourceManager,778,2,IA-9,Service Identification and Authentication,0.879,guidance,,,
83130a07-235b-4a80-918b-a370e53f0bd9,App Service Authentication Is Not Set,Access Control,AzureResourceManager,778,3,AC-3.15 (a),Discretionary and Mandatory Access Control,0.847,statement,,,
83130a07-235b-4a80-918b-a370e53f0bd9,App Service Authentication Is Not Set,Access Control,AzureResourceManager,778,4,AC-3.15 (b),Discretionary and Mandatory Access Control,0.847,statement,,,
83130a07-235b-4a80-918b-a370e53f0bd9,App Service Authentication Is Not Set,Access Control,AzureResourceManager,778,5,IA-2.8,Access to Accounts — Replay Resistant,0.789,statement|objective|guidance,,,
3ddfa124-6407-4845-a501-179f90c65097,Authentication Without MFA,Access Control,Terraform,284,1,IA-2.2,Multi-factor Authentication to Non-privileged Accounts,1.0,statement|objective|guidance,,,
3ddfa124-6407-4845-a501-179f90c65097,Authentication Without MFA,Access Control,Terraform,284,2,IA-2.1,Multi-factor Authentication to Privileged Accounts,0.989,statement|objective|guidance,,,
3ddfa124-6407-4845-a501-179f90c65097,Authentication Without MFA,Access Control,Terraform,284,3,IA-2,Identification and Authentication (Organizational Users),0.821,statement|objective|guidance,,,
3ddfa124-6407-4845-a501-179f90c65097,Authentication Without MFA,Access Control,Terraform,284,4,IA-8,Identification and Authentication (Non-organizational Users),0.7,statement|objective|guidance,,,
3ddfa124-6407-4845-a501-179f90c65097,Authentication Without MFA,Access Control,Terraform,284,5,AC-17.10,Authenticate Remote Commands,0.697,statement|objective|guidance,,,
eee107f9-b3d8-45d3-b9c6-43b5a7263ce1,Authentication Without MFA,Access Control,Ansible,287,1,IA-2.2,Multi-factor Authentication to Non-privileged Accounts,1.0,statement|objective|guidance,,,
eee107f9-b3d8-45d3-b9c6-43b5a7263ce1,Authentication Without MFA,Access Control,Ansible,287,2,IA-2.1,Multi-factor Authentication to Privileged Accounts,0.989,statement|objective|guidance,,,
eee107f9-b3d8-45d3-b9c6-43b5a7263ce1,Authentication Without MFA,Access Control,Ansible,287,3,IA-2,Identification and Authentication (Organizational Users),0.821,statement|objective|guidance,,,
eee107f9-b3d8-45d3-b9c6-43b5a7263ce1,Authentication Without MFA,Access Control,Ansible,287,4,IA-8,Identification and Authentication (Non-organizational Users),0.7,statement|objective|guidance,,,
eee107f9-b3d8-45d3-b9c6-43b5a7263ce1,Authentication Without MFA,Access Control,Ansible,287,5,AC-17.10,Authenticate Remote Commands,0.697,statement|objective|guidance,,,
1aa4a1ae-5dbb-48a1-9aa2-630ea4be208e,Authorization Mode RBAC Not Set,Access Control,Kubernetes,285,1,AC-3.7,Role-based Access Control,1.0,statement|objective|guidance,,,
1aa4a1ae-5dbb-48a1-9aa2-630ea4be208e,Authorization Mode RBAC Not Set,Access Control,Kubernetes,285,2,AC-24.1,Transmit Access Authorization Information,0.865,statement|objective|guidance,,,
1aa4a1ae-5dbb-48a1-9aa2-630ea4be208e,Authorization Mode RBAC Not Set,Access Control,Kubernetes,285,3,IA-13,Identity Providers and Authorization Servers,0.802,statement|objective|guidance,,,
1aa4a1ae-5dbb-48a1-9aa2-630ea4be208e,Authorization Mode RBAC Not Set,Access Control,Kubernetes,285,4,AC-3.15,Discretionary and Mandatory Access Control,0.743,statement|objective|guidance,,,
1aa4a1ae-5dbb-48a1-9aa2-630ea4be208e,Authorization Mode RBAC Not Set,Access Control,Kubernetes,285,5,AC-24,Access Control Decisions,0.696,statement|objective|guidance,,,
f1f4d8da-1ac4-47d0-b1aa-91e69d33f7d5,Authorization Mode Set To Always Allow,Access Control,Kubernetes,285,1,AC-24,Access Control Decisions,1.0,statement|objective|guidance,,,
f1f4d8da-1ac4-47d0-b1aa-91e69d33f7d5,Authorization Mode Set To Always Allow,Access Control,Kubernetes,285,2,AC-25,Reference Monitor,0.904,statement|objective|guidance,,,
f1f4d8da-1ac4-47d0-b1aa-91e69d33f7d5,Authorization Mode Set To Always Allow,Access Control,Kubernetes,285,3,AC-24.1,Transmit Access Authorization Information,0.856,statement|objective|guidance,,,
f1f4d8da-1ac4-47d0-b1aa-91e69d33f7d5,Authorization Mode Set To Always Allow,Access Control,Kubernetes,285,4,IA-13,Identity Providers and Authorization Servers,0.793,statement|objective|guidance,,,
f1f4d8da-1ac4-47d0-b1aa-91e69d33f7d5,Authorization Mode Set To Always Allow,Access Control,Kubernetes,285,5,AC-3.15,Discretionary and Mandatory Access Control,0.735,statement|objective|guidance,,,
a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Access Control,Terraform,284,1,AC-12.1,User-initiated Logouts,1.0,statement|objective|guidance,,,
a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Access Control,Terraform,284,2,SC-45,System Time Synchronization,0.864,guidance,,,
a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Access Control,Terraform,284,3,IA-10,Adaptive Authentication,0.863,guidance,,,
a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Access Control,Terraform,284,4,IA-9,Service Identification and Authentication,0.858,guidance,,,
a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Access Control,Terraform,284,5,AC-3,Access Enforcement,0.853,statement|objective|guidance,,,
5da47109-f8d6-4585-9e2b-96a8958a12f5,Basic Auth File Is Set,Access Control,Kubernetes,1390,1,AC-3.15,Discretionary and Mandatory Access Control,1.0,statement|objective|guidance,,,
5da47109-f8d6-4585-9e2b-96a8958a12f5,Basic Auth File Is Set,Access Control,Kubernetes,1390,2,SC-7.7,Split Tunneling for Remote Devices,0.852,statement|objective|guidance,,,
5da47109-f8d6-4585-9e2b-96a8958a12f5,Basic Auth File Is Set,Access Control,Kubernetes,1390,3,AC-3.15 (a),Discretionary and Mandatory Access Control,0.847,statement,,,
5da47109-f8d6-4585-9e2b-96a8958a12f5,Basic Auth File Is Set,Access Control,Kubernetes,1390,4,AC-3.15 (b),Discretionary and Mandatory Access Control,0.847,statement,,,
5da47109-f8d6-4585-9e2b-96a8958a12f5,Basic Auth File Is Set,Access Control,Kubernetes,1390,5,AC-4.12,Data Type Identifiers,0.792,statement|objective|guidance,,,
77deea6a-155e-4865-bf04-153d23e488e8,Beta - Azure Container Registry With Broad Permissions,Access Control,Terraform,732,1,AC-6.1,Authorize Access to Security Functions,1.0,statement|objective|guidance,,,
77deea6a-155e-4865-bf04-153d23e488e8,Beta - Azure Container Registry With Broad Permissions,Access Control,Terraform,732,2,AC-6,Least Privilege,0.882,statement|objective|guidance,,,
77deea6a-155e-4865-bf04-153d23e488e8,Beta - Azure Container Registry With Broad Permissions,Access Control,Terraform,732,3,CA-3.6,Transfer Authorizations,0.812,statement|objective|guidance,,,
77deea6a-155e-4865-bf04-153d23e488e8,Beta - Azure Container Registry With Broad Permissions,Access Control,Terraform,732,4,PT-4.1,Tailored Consent,0.78,statement|objective,,,
77deea6a-155e-4865-bf04-153d23e488e8,Beta - Azure Container Registry With Broad Permissions,Access Control,Terraform,732,5,SA-8.15,Predicate Permission,0.759,statement|objective|guidance,,,
7bd9c6a8-3b1f-495c-9752-a4a9c4e1b29f,Beta - Ensure Essential Contacts Is Configured For Organization,Access Control,Terraform,862,1,AC-9.4,Additional Logon Information,1.0,guidance,,,
